Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"PCJEWELLER","229.80","250.70","229.80","234.00","25.05","11.99","85.47","203.12","600.65","94.55","4.17","-24.01"
"UJJIVAN","434.75","434.75","417.80","419.90","16.30","4.04","7.48","31.63","434.75","285.00","21.10","11.38"
"NESTLEIND","9,240.00","9,240.00","9,185.00","9,186.30","204.75","2.28","0.09","8.40","9,497.00","6,450.00","32.74","8.09"
"BALRAMCHIN","66.50","67.70","66.50","67.30","1.50","2.28","1.41","0.95","182.50","63.40","-59.42","-15.56"
"KAJARIACER","535.50","540.90","535.50","540.10","11.70","2.21","0.31","1.65","789.80","501.25","-24.82","-3.04"
"JINDALSTEL","247.00","249.95","247.00","249.95","5.25","2.15","2.62","6.51","294.30","102.70","118.68","2.06"
"ASIANPAINT","1,237.00","1,239.15","1,229.85","1,237.40","19.70","1.62","1.71","21.11","1,262.00","1,080.50","6.83","6.97"
"BERGEPAINT","272.00","272.00","268.30","270.60","3.85","1.44","0.18","0.49","287.45","230.55","4.02","1.41"
"IDFC","53.80","54.30","53.65","54.25","0.70","1.31","0.63","0.34","68.90","48.30","-15.56","3.24"
"TATAELXSI","1,181.90","1,193.15","1,181.80","1,190.55","14.95","1.27","0.20","2.38","1,259.90","641.18","54.76","15.21"
"JETAIRWAYS","488.00","490.75","487.00","490.00","6.05","1.25","0.68","3.35","883.45","438.25","-9.33","-20.85"
"MFSL","518.00","522.35","518.00","522.30","6.15","1.19","0.05","0.26","683.95","417.30","-18.79","14.08"
"CONCOR","1,357.55","1,374.45","1,357.55","1,372.40","15.65","1.15","0.02","0.23","1,500.00","1,096.10","14.95","7.50"
"SAIL","73.10","73.75","72.95","73.40","0.80","1.10","2.81","2.07","101.45","52.85","20.13","-4.11"
"HINDPETRO","308.80","311.80","308.55","311.20","3.30","1.07","1.25","3.89","492.80","288.50","-11.79","-14.66"
"JPASSOCIAT","19.00","19.25","19.00","19.15","0.20","1.06","6.93","1.33","30.45","9.15","46.74","-6.13"
"VEDL","282.90","283.75","282.50","282.60","2.90","1.04","2.23","6.30","355.70","220.65","23.62","-0.53"
"APOLLOTYRE","288.60","289.65","284.95","286.25","2.65","0.93","1.60","4.61","307.25","217.25","23.57","-1.53"
"UPL","724.70","729.00","723.00","728.50","6.50","0.90","0.23","1.67","902.50","672.50","-11.54","-3.09"
"LT","1,367.50","1,374.90","1,367.50","1,374.35","12.15","0.89","0.25","3.49","1,470.00","1,107.53","18.53","1.81"
"TITAN","990.00","991.85","981.00","981.80","8.70","0.89","5.78","57.03","999.70","460.10","103.52","2.03"
"INDIGO","1,151.00","1,156.25","1,151.00","1,155.60","9.70","0.85","0.08","0.91","1,520.00","1,004.00","2.82","-21.91"
"BRITANNIA","5,400.00","5,433.95","5,400.00","5,432.35","45.90","0.85","0.01","0.54","5,565.50","3,371.50","46.37","5.81"
"PEL","2,459.90","2,469.85","2,450.20","2,466.75","20.65","0.84","0.02","0.58","3,058.37","2,275.00","-2.37","-5.92"
"RELINFRA","417.05","418.70","417.05","418.00","3.45","0.83","0.37","1.53","620.05","390.55","-29.70","-9.70"
"EQUITAS","167.00","167.00","165.00","165.00","1.35","0.82","0.37","0.62","183.60","129.30","-0.03","6.66"
"M&M","857.95","863.50","857.95","863.50","7.00","0.82","0.17","1.43","887.90","612.00","-37.26","11.05"
"RAMCOCEM","811.00","827.00","811.00","822.05","6.50","0.80","0.01","0.04","879.10","647.60","14.72","1.09"
"HDFC","1,901.00","1,912.85","1,901.00","1,909.45","15.15","0.80","0.34","6.41","1,986.05","1,503.45","21.47","5.06"
"MANAPPURAM","121.95","122.15","121.60","122.00","0.95","0.78","0.72","0.87","130.45","82.10","25.84","-0.69"
"DHFL","625.55","634.00","625.50","628.70","4.85","0.78","1.43","8.97","680.55","387.20","42.38","17.43"
"TVSMOTOR","621.80","624.85","621.80","623.55","4.85","0.78","0.07","0.41","794.45","491.85","26.08","-2.65"
"IBULHSGFIN","1,217.00","1,218.35","1,212.75","1,217.85","9.20","0.76","0.35","4.24","1,440.00","1,013.30","12.46","-8.06"
"NIITTECH","1,045.00","1,045.90","1,041.15","1,044.95","7.75","0.75","0.27","2.77","1,192.00","462.60","98.17","17.96"
"ASHOKLEY","161.50","161.95","161.40","161.85","1.20","0.75","2.14","3.46","167.50","81.50","89.19","11.39"
"ICICIBANK","307.95","310.55","307.55","309.05","2.20","0.72","7.03","21.76","365.70","255.00","13.83","7.01"
"HEXAWARE","420.00","423.40","418.00","419.75","2.95","0.71","0.84","3.52","458.20","228.00","68.54","3.90"
"PAGEIND","24,198.00","24,198.00","23,988.30","24,027.05","167.30","0.70","0.00","0.05","25,789.95","13,841.45","62.45","-3.69"
"ITC","281.90","282.35","280.55","282.10","1.95","0.70","0.65","1.84","367.70","250.00","2.97","5.77"
"CGPOWER","80.00","80.25","79.40","79.85","0.55","0.69","0.26","0.21","99.15","67.50","-10.18","-1.96"
"KTKBANK","113.00","113.80","113.00","113.30","0.75","0.67","1.03","1.16","181.00","108.00","-32.88","-9.40"
"TATASTEEL","597.00","600.40","596.30","598.15","4.00","0.67","0.74","4.45","748.11","408.11","36.74","-0.62"
"MCDOWELL-N","3,266.00","3,271.95","3,260.00","3,266.35","20.90","0.64","0.04","1.41","4,005.15","1,900.00","66.43","-2.50"
"INDIACEM","134.35","134.35","134.00","134.20","0.85","0.64","0.31","0.42","226.25","133.00","-37.36","-11.45"
"MCX","767.90","772.00","766.05","770.05","4.90","0.64","0.06","0.45","1,182.00","665.10","-31.74","3.64"
"IOC","168.80","170.00","168.80","169.00","1.05","0.63","2.01","3.41","231.48","156.75","-61.72","-5.74"
"ARVIND","429.10","433.45","429.10","431.80","2.70","0.63","0.53","2.29","478.50","353.25","2.59","5.79"
"KOTAKBANK","1,250.00","1,255.75","1,248.05","1,255.25","7.75","0.62","0.16","1.95","1,288.40","911.00","35.32","12.71"
"HAVELLS","542.20","543.00","540.00","541.05","3.30","0.61","0.34","1.87","592.50","433.60","7.75","1.20"
"BAJAJFINSV","5,275.00","5,279.65","5,250.10","5,269.95","32.00","0.61","0.01","0.37","5,790.00","3,801.00","20.00","-2.64"
"PIDILITIND","1,090.30","1,096.40","1,090.30","1,095.05","6.60","0.61","0.03","0.36","1,111.75","717.00","46.68","9.49"
"RELCAPITAL","408.80","411.00","408.45","409.35","2.50","0.61","0.59","2.43","879.90","393.60","-40.26","-10.41"
"BANKBARODA","139.55","139.60","139.10","139.50","0.85","0.61","1.42","1.98","206.65","128.10","-24.82","-8.97"
"VOLTAS","603.00","606.75","603.00","605.65","3.70","0.61","0.20","1.19","675.30","403.40","37.43","-4.40"
"GAIL","341.20","342.15","341.20","342.05","2.05","0.60","0.42","1.43","389.63","259.99","-18.07","3.04"
"TV18BRDCST","59.85","59.85","59.10","59.75","0.35","0.59","0.40","0.24","70.80","33.05","44.15","-11.87"
"SREINFRA","78.15","78.85","78.15","78.70","0.45","0.58","0.24","0.19","138.00","69.50","-30.26","-6.92"
"MRF","75,300.00","75,400.00","75,100.05","75,312.30","430.85","0.58","0.00","0.93","81,425.95","61,000.00","14.22","-1.98"
"KPIT","259.10","261.05","259.00","260.60","1.50","0.58","0.16","0.41","266.00","104.05","101.70","17.97"
"AXISBANK","548.60","552.40","548.55","550.75","3.10","0.57","0.92","5.09","627.60","447.50","4.64","0.84"
"STAR","528.80","531.60","528.00","530.60","2.95","0.56","0.16","0.85","1,102.20","516.00","-50.58","-18.49"
"BHEL","81.15","81.45","81.00","81.05","0.45","0.56","0.91","0.74","119.33","79.85","-31.35","-8.88"
"ANDHRABANK","36.20","36.50","36.00","36.40","0.20","0.55","0.60","0.22","73.45","31.95","-48.62","-19.02"
"HCLTECH","931.20","938.25","931.10","935.30","5.10","0.55","0.23","2.19","1,108.00","824.85","10.87","-1.39"
"INFY","1,172.30","1,178.00","1,172.30","1,174.45","6.45","0.55","0.13","1.56","1,221.05","860.00","24.46","5.48"
"IRB","259.50","260.75","259.50","260.00","1.40","0.54","0.29","0.76","286.20","193.50","-0.97","1.98"
"SHREECEM","16,200.00","16,233.90","16,140.40","16,192.80","87.40","0.54","0.00","0.09","20,538.00","15,652.15","-17.36","-4.73"
"BPCL","389.25","393.45","389.25","392.30","2.10","0.54","0.50","1.96","551.55","369.85","-19.20","-13.04"
"EICHERMOT","30,750.00","30,895.75","30,750.00","30,808.60","161.10","0.53","0.01","1.62","33,480.00","26,208.05","10.55","2.79"
"SUNTV","860.00","860.90","856.00","859.70","4.50","0.53","0.20","1.68","1,097.80","652.45","-0.32","-2.09"
"M&MFIN","501.95","504.40","500.30","502.85","2.55","0.51","0.16","0.82","534.00","289.95","51.67","3.13"
"INFIBEAM","172.00","172.05","168.15","168.50","0.85","0.51","1.03","1.76","195.90","87.15","67.97","0.51"
"SUZLON","10.00","10.05","10.00","10.05","0.05","0.50","2.90","0.29","22.25","9.95","-52.59","-17.62"
"TECHM","663.00","669.60","663.00","666.95","3.35","0.50","0.45","3.00","729.50","356.65","54.96","6.47"
"TCS","3,454.20","3,474.00","3,454.20","3,468.05","16.80","0.49","0.51","17.67","3,560.00","2,316.00","48.69","18.06"
"VGUARD","237.70","239.20","237.70","238.25","1.15","0.49","0.09","0.22","254.90","165.00","12.51","2.50"
"TATAGLOBAL","284.40","287.25","284.40","286.65","1.40","0.49","0.43","1.22","328.75","140.20","85.11","4.05"
"NATIONALUM","77.00","77.45","77.00","77.30","0.35","0.45","0.89","0.69","97.60","60.70","14.18","6.84"
"MINDTREE","1,026.80","1,028.00","1,021.05","1,021.40","4.60","0.45","0.28","2.83","1,101.20","439.05","104.01","23.39"
"COALINDIA","272.00","272.00","270.35","270.50","1.15","0.43","0.15","0.42","316.95","233.70","-2.89","-3.70"
