Symbol,Company Name,Today's Close Price,Yesterday's Close Price,Previous Day Volatility,Current Day Volatility,Annualised Volatility
ABB,ABB India Ltd.,1268.15,1267.25,1.4200000000000002,1.38,26.36
ABCAPITAL,Aditya Birla Capital Ltd.,154.70,157.40,1.32,1.35,25.790000000000003
ACC,ACC Ltd.,1493.85,1509.65,1.11,1.11,21.21
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,410.80,413.35,1.6,1.5599999999999998,29.799999999999997
AMBUJACEM,Ambuja Cements Ltd.,220.05,224.65,1.54,1.58,30.19
ASHOKLEY,Ashok Leyland Ltd.,160.65,162.10,1.52,1.49,28.470000000000002
ASIANPAINT,Asian Paints Ltd.,1217.70,1222.55,1.22,1.1900000000000002,22.73
AUROPHARMA,Aurobindo Pharma Ltd.,594.30,609.30,1.63,1.69,32.29
AXISBANK,Axis Bank Ltd.,547.65,548.50,2.6100000000000003,2.53,48.339999999999996
BAJAJ-AUTO,Bajaj Auto Ltd.,2827.50,2872.00,1.1900000000000002,1.22,23.31
BAJAJFINSV,Bajaj Finserv Ltd.,5237.95,5349.50,1.4000000000000001,1.4500000000000002,27.700000000000003
BAJFINANCE,Bajaj Finance Ltd.,1837.40,1849.10,1.32,1.29,24.65
BANKBARODA,Bank of Baroda,138.65,144.30,2.5700000000000003,2.68,51.2
BEL,Bharat Electronics Ltd.,129.80,132.35,1.6099999999999999,1.63,31.14
BHARTIARTL,Bharti Airtel Ltd.,412.10,402.45,1.5699999999999998,1.63,31.14
BHEL,Bharat Heavy Electricals Ltd.,80.60,83.60,1.39,1.6199999999999999,30.95
BOSCHLTD,Bosch Ltd.,18693.55,18923.80,1.34,1.3299999999999998,25.41
BPCL,Bharat Petroleum Corporation Ltd.,390.20,385.45,2.27,2.22,42.41
BRITANNIA,Britannia Industries Ltd.,5386.45,5401.50,1.1199999999999999,1.09,20.82
CADILAHC,Cadila Healthcare Ltd.,398.70,400.35,1.47,1.43,27.32
CIPLA,Cipla Ltd.,575.50,588.00,1.4000000000000001,1.46,27.889999999999997
COALINDIA,Coal India Ltd.,269.35,267.35,1.24,1.22,23.31
COLPAL,Colgate Palmolive (India) Ltd.,1095.95,1093.40,0.91,0.88,16.81
CONCOR,Container Corporation of India Ltd.,1356.75,1380.30,1.6199999999999999,1.63,31.14
CUMMINSIND,Cummins India Ltd.,778.15,775.25,1.6,1.55,29.609999999999996
DABUR,Dabur India Ltd.,367.85,368.55,1.11,1.08,20.630000000000003
DLF,DLF Ltd.,213.60,221.40,1.95,2.08,39.739999999999995
DMART,Avenue Supermarts Ltd.,1456.45,1447.75,1.3,1.27,24.26
DRREDDY,Dr. Reddy's Laboratories Ltd.,1989.60,2064.35,1.1199999999999999,1.41,26.939999999999998
EICHERMOT,Eicher Motors Ltd.,30647.50,30315.65,1.53,1.51,28.849999999999998
EMAMILTD,Emami Ltd.,1038.50,1015.50,1.5599999999999998,1.6099999999999999,30.759999999999998
GAIL,GAIL (India) Ltd.,340.00,341.90,1.6199999999999999,1.58,30.19
GICRE,General Insurance Corporation of India,691.25,697.85,0.8699999999999999,0.88,16.81
GODREJCP,Godrej Consumer Products Ltd.,1078.35,1090.25,1.53,1.51,28.849999999999998
GRASIM,Grasim Industries Ltd.,1093.05,1094.95,1.28,1.24,23.69
HAVELLS,Havells India Ltd.,537.75,553.90,1.43,1.5599999999999998,29.799999999999997
HCLTECH,HCL Technologies Ltd.,930.20,927.50,2.6,2.52,48.14
HDFC,Housing Development Finance Corporation Ltd.,1894.30,1897.65,1.0,0.97,18.529999999999998
HDFCBANK,HDFC Bank Ltd.,1992.70,1978.40,0.86,0.8500000000000001,16.24
HEROMOTOCO,Hero MotoCorp Ltd.,3646.00,3654.40,1.06,1.03,19.68
HINDALCO,Hindalco Industries Ltd.,241.30,238.15,2.78,2.71,51.77
HINDPETRO,Hindustan Petroleum Corporation Ltd.,307.90,305.25,2.32,2.26,43.18
